role_type,role_type_group,,,,,
Other,Other roles,,,,,
Operational Delivery,Delivery,,,,,
Administration / Corporate Support,Admin and HR,,,,,
Policy,Strategy and Policy,,,,,
Information Technology,Corporate and IT,,,,,
Project Delivery,Delivery,,,,,
Analytical,"Analysis, science and intelligence",,,,,
Business Management and Improvement,Corporate and IT,,,,,
Digital,Corporate and IT,,,,,
Finance,Commercial and communications,,,,,
Communications / Marketing,Commercial and communications,,,,,
Strategy,Strategy and Policy,,,,,
Commercial,Commercial and communications,,,,,
Human Resources,Admin and HR,,,,,
Senior leadership,Senior leadership,,,,,
Knowledge and Information Management,Corporate and IT,,,,,
Security,Corporate and IT,,,,,
Science,"Analysis, science and intelligence",,,,,
Procurement and Contracts Management,Commercial and communications,,,,,
Governance,Corporate and IT,,,,,
Planning,Delivery,,,,,
Education and Training,Delivery,,,,,
Estates,Commercial and communications,,,,,
Engineering,Other roles,,,,,
Statistics,"Analysis, science and intelligence",,,,,
Medical,Delivery,,,,,
Risk Management,Admin and HR,,,,,
Health Professionals,Delivery,,,,,
Intelligence,"Analysis, science and intelligence",,,,,
Legal Services,Delivery,,,,,
Economist,"Analysis, science and intelligence",,,,,
Operational Research,"Analysis, science and intelligence",,,,,
Industrial,Delivery,,,,,
Policing,Delivery,,,,,
Logistics,Delivery,,,,,
Accountancy,Delivery,,,,,
Investigation,Other roles,,,,,
Customer Insight,"Analysis, science and intelligence",,,,,
Secretarial,Commercial and communications,,,,,
Corporate Finance,Commercial and communications,,,,,
Health and Safety,Admin and HR,,,,,
Tax Profession,Delivery,,,,,
Environment and Sustainability,"Analysis, science and intelligence",,,,,
Quality,Admin and HR,,,,,
Architecture and Data,Corporate and IT,,,,,
Press Relations,Commercial and communications,,,,,
Audit,Commercial and communications,,,,,
European Opportunities,Other roles,,,,,
Social Research,"Analysis, science and intelligence",,,,,
Psychology,"Analysis, science and intelligence",,,,,
Property,Delivery,,,,,
Contact Centre,Delivery,,,,,
Market Research,"Analysis, science and intelligence",,,,,
Social Survey Interviewer,Delivery,,,,,
Internal Audit,Commercial and communications,,,,,
Defence Operations,Delivery,,,,,
Social Research / Market Research,"Analysis, science and intelligence",,,,,
Debt Management,Delivery,,,,,
Surveying,Delivery,,,,,
Library,Delivery,,,,,
Health Adviser,Delivery,,,,,
Sponsorship,Delivery,,,,,
Social Development,Delivery,,,,,
Veterinary Services,Delivery,,,,,
Private Sector Development,Delivery,,,,,
Conflict Advisers,Delivery,,,,,
Valuation,Delivery,,,,,
Fast Stream,Other roles,,,,,
Trade,Delivery,,,,,
Planning Inspector,Delivery,,,,,
Humanitarian,Delivery,,,,,
Secondary education teacher,Delivery,,,,,
International Trade,Other roles,,,,,
